Model type,Layers,sequence length,trend length,Average trend error,Graph Number,Training Cycles,Batch
Shallow,"1, 30, 100, 1",30,5,0.4306302234,1,10,400
Shallow,"1, 30, 100, 1",30,10,1.2372537221,2,10,400
Shallow,"1, 30, 100, 1",30,15,2.2671853395,3,10,400
Shallow,"1, 30, 100, 1",30,20,4.7597523255,4,10,400
Shallow,"1, 30, 100, 1",30,30,10.0654035913,5,10,400
Shallow,"1, 75, 150, 1",75,5,0.722358789,6,10,400
Shallow,"1, 75, 150, 1",75,10,2.0095510038,7,10,400
Shallow,"1, 75, 150, 1",75,15,4.5565569839,8,10,400
Shallow,"1, 75, 150, 1",75,20,6.8465005166,9,10,400
Shallow,"1, 75, 150, 1",75,30,19.0382940527,10,10,400
Deep,"1, 50, 100, 400, 1",50,5,0.7052471918,11,10,400
Deep,"1, 50, 100, 400, 1",50,10,1.7095084018,12,10,400
Deep,"1, 50, 100, 400, 1",50,15,2.910148958,13,10,400
Deep,"1, 50, 100, 400, 1",50,20,4.2058754101,14,10,400
Deep,"1, 50, 100, 400, 1",50,30,6.5763208057,15,10,400
Deep,"1, 75, 300, 900, 1",75,5,0.524915276,16,10,400
Deep,"1, 75, 300, 900, 1",75,10,1.276447644,17,10,400
Deep,"1, 75, 300, 900, 1",75,15,2.3744004191,18,10,400
Deep,"1, 75, 300, 900, 1",75,20,2.8689128416,19,10,400
Deep,"1, 75, 300, 900, 1",75,30,6.7283981008,20,10,400
